Time,Tk,R
702,"22,0366744","17,5564861"
703,"22,0477886","17,556427"
704,"22,0497722","17,5566406"
705,"22,0983772","17,5567111"
706,"22,1678657","17,5566768"
707,"22,157175","17,556385"
708,"22,1392116","17,5563888"
709,"22,1300621","17,5573272"
710,"22,1264514","17,5572586"
711,"22,1036548","17,5569553"
712,"22,0184192","17,5573863"
713,"21,9345588","17,5575962"
714,"21,8640918","17,5575695"
715,"21,8374843","17,5575561"
716,"21,8325157","17,5580615"
717,"21,7954921","17,5579586"
718,"21,7476234","17,5579147"
719,"21,7441082","17,5582752"
720,"21,7337875","17,5583686"
721,"21,74267","17,5586948"
722,"21,780981","17,5586872"
723,"21,8439121","17,5587177"
724,"21,7919406","17,558464"
725,"21,7494792","17,5583076"
726,"21,726202","17,5586948"
727,"21,7009258","17,5591144"
728,"21,6917858","17,5594005"
729,"21,6809558","17,5599308"
730,"21,6776924","17,5596008"
731,"21,6666297","17,5599098"
732,"21,6396331","17,560007"
733,"21,6416301","17,5599174"
734,"21,6453342","17,5599765"
735,"21,6348762","17,5600051"
736,"21,6215629","17,5595703"
737,"21,6137142","17,5599822"
738,"21,6170196","17,5606975"
739,"21,6002922","17,5616245"
740,"21,6037483","17,5608901"
741,"21,5851039","17,5602455"
742,"21,5842895","17,5606708"
743,"21,5887508","17,5606784"
744,"21,5850143","17,5609035"
745,"21,5713081","17,5609931"
746,"21,5718917","17,5613632"
747,"21,5855979","17,5617198"
748,"21,58572","17,56184"
749,"21,5889225","17,5613803"
750,"21,6005516","17,5614013"
751,"21,5960388","17,5614566"
752,"21,6040248","16,8184204"
753,"21,6587371","17,563364"
754,"21,7025947","17,5648212"
755,"21,689598","17,5660305"
756,"21,6739673","17,5670356"
757,"21,6711616","17,5678062"
758,"21,6624965","17,568695"
759,"21,6355571","17,5698261"
760,"21,6188411","17,570774"
761,"21,6081809","17,5714721"
762,"21,6128845","17,5720863"
763,"21,6234817","17,5728607"
764,"21,6758537","17,573574"
765,"21,7155017","17,5742454"
766,"21,7528934","17,5759105"
767,"21,7554607","17,5764217"
768,"21,7616977","17,5772953"
769,"21,7493305","17,5780048"
770,"21,7458915","17,5790004"
771,"21,7451286","17,5790672"
772,"21,7619342","17,5802078"
773,"21,7812671","17,5808715"
774,"21,7562313","17,581768"
775,"21,7373027","17,5828342"
776,"21,7016735","17,5837402"
777,"21,6694507","17,5849781"
778,"21,6410083","17,5849475"
779,"21,662651","17,5854511"
780,"21,6866207","17,5869312"
781,"21,7137889","17,5872516"
782,"21,7390956","17,5882167"
783,"21,764738","17,5897235"
784,"21,7629547","17,5904331"
785,"21,7657432","17,5909442"
786,"21,7504711","17,5917186"
787,"21,7613048","17,5925579"
788,"21,7690773","17,5937213"
789,"21,7847061","17,5943126"
790,"21,7753982","17,5953369"
791,"21,7729053","17,5956974"
792,"21,7679271","17,5966377"
793,"21,7558593","17,5974559"
794,"21,7192325","17,5982208"
795,"21,706583","17,5992164"
796,"21,6903457","17,6000614"
797,"21,6647815","17,6007804"
798,"21,6560535","17,6016254"
799,"21,6424789","17,6020507"
800,"21,6492977","17,6032962"
801,"21,6442241","17,6037158"
802,"21,6372146","17,6044025"
803,"21,6290302","17,6053295"
804,"21,6357154","17,6065902"
805,"21,6237277","17,6074199"
806,"21,6042613","17,6078338"
807,"21,5962657","17,6085472"
808,"21,5927848","17,6091995"
809,"21,5956268","17,6096382"
810,"21,5863151","17,6107864"
811,"21,5597648","17,6122417"
812,"21,6381168","17,6127414"
813,"21,6858901","17,613573"
814,"21,6946907","17,6133384"
815,"21,7489471","17,6144008"
816,"21,7858467","17,6160984"
817,"21,8191642","17,6165561"
818,"21,8066864","17,6171646"
819,"21,8034439","17,6182975"
820,"21,8044509","17,6190624"
821,"21,7861995","17,6192207"
822,"21,8109474","17,6203289"
823,"21,807867","17,6206264"
824,"21,8239154","17,6222553"
825,"21,8279304","17,6226863"
826,"21,8106555","17,6234397"
827,"21,8089885","17,6248168"
828,"21,7888145","17,6253547"
829,"21,7734508","17,6260452"
830,"21,7811527","17,6264629"
831,"21,7130393","17,6269989"
832,"21,6764984","17,6276359"
833,"21,6695346","17,6296939"
834,"21,6428413","17,6296157"
835,"21,6178417","17,6303501"
836,"21,6269798","17,6311073"
837,"21,6438064","17,6318264"
838,"21,6526412","17,6324748"
839,"21,6654357","17,6335544"
840,"21,7074642","17,6342811"
841,"21,67527","17,6358222"
842,"21,6982421","17,636322"
843,"21,7540969","17,6373481"
844,"21,7915515","17,637289"
845,"21,8118381","17,6375026"
846,"21,8100624","17,638544"
847,"21,7817039","17,6395664"
848,"21,7526454","17,6400699"
849,"21,7156219","17,6411781"
850,"21,7041549","17,6420574"
851,"21,6833515","17,6427516"
852,"21,7248134","17,6431026"
853,"21,7532196","17,6438388"
854,"21,7351493","17,6453247"
855,"21,7527484","17,6460914"
856,"21,7576274","17,6466579"
857,"21,7116508","17,6472377"
858,"21,6778545","17,6480445"
859,"21,6651496","17,6490612"
860,"21,6479854","17,6495971"
861,"21,6384582","17,6499137"
862,"21,6275177","17,6508636"
863,"21,6244525","17,6516799"
864,"21,617218","17,6525192"
865,"21,6145591","17,653326"
866,"21,6090507","17,6548881"
867,"21,60219","17,6552104"
868,"21,5872726","17,6553974"
869,"21,5696067","17,656599"
870,"21,572071","17,6570053"
871,"21,5585098","17,6581916"
872,"21,5564804","17,6587848"
873,"21,537014","17,6593017"
874,"21,5409317","17,6600475"
875,"21,5245857","17,6606941"
876,"21,5182762","17,6611595"
877,"21,5280818","17,6622524"
878,"21,5532398","17,6628246"
879,"21,5726661","17,6640357"
880,"21,5944061","17,6645164"
881,"21,5988483","17,665512"
882,"21,6268844","17,6660633"
